art_folder,art_file,sprite_folder,sprite_file
0001bulbasaur,0001 Bulbasaur RG.png,0001bulbasaur,bulbasaur.png
0002ivysaur,0002 Ivysaur RG.png,0002ivysaur,ivysaur.png
0003venusaur,0003 Venusaur.png,0003venusaur,venusaur.png
0004charmander,0004 Charmander RG.png,0004charmander,charmander.png
0005charmeleon,0005 Charmeleon RG.png,0005charmeleon,charmeleon.png
0006charizard,0006 Charizard Mega Y.png,0006charizard,charizard-mega-y.png
0007squirtle,0007 Squirtle.png,0007squirtle,squirtle.png
0008wartortle,0008 Wartortle.png,0008wartortle,wartortle.png
0009blastoise,0009 Blastoise Gigantamax.png,0009blastoise,blastoise-gmax.png
0009blastoise,0009 Blastoise Mega.png,0009blastoise,blastoise-mega.png
0009blastoise,0009 Blastoise RB.png,0009blastoise,blastoise.png
0010caterpie,0010 Caterpie.png,0010caterpie,caterpie.png
0011metapod,0011 Metapod RG.png,0011metapod,metapod.png
0012butterfree,0012 Butterfree.png,0012butterfree,butterfree.png
0013weedle,0013 Weedle RG.png,0013weedle,weedle.png
0014kakuna,0014 Kakuna.png,0014kakuna,kakuna.png
0015beedrill,0015 Beedrill Mega.png,0015beedrill,beedrill-mega.png
0015beedrill,0015 Beedrill.png,0015beedrill,beedrill.png
0016pidgey,0016 Pidgey.png,0016pidgey,pidgey.png
0017pidgeotto,0017 Pidgeotto RG.png,0017pidgeotto,pidgeotto.png
0018pidgeot,0018 Pidgeot Mega.png,0018pidgeot,pidgeot-mega.png
0018pidgeot,0018 Pidgeot RG.png,0018pidgeot,pidgeot.png
0019rattata,0019 Rattata Alola.png,0019rattata,rattata alola.png
0019rattata,0019 Rattata.png,0019rattata,rattata.png
0020raticate,0020 Raticate Alola.png,0020raticate,raticate alola.png
0020raticate,0020 Raticate.png,0020raticate,raticate.png
0021spearow,0021 Spearow RG.png,0021spearow,spearow.png
0022fearow,0022 Fearow.png,0022fearow,fearow.png
0023ekans,0023 Ekans.png,0023ekans,ekans.png
0024arbok,0024 Arbok.png,0024arbok,arbok.png
0025pikachu,0025 Pikachu Gigantamax.png,0025pikachu,pikachu-gmax.png
0025pikachu,0025 Pikachu.png,0025pikachu,pikachu.png
0027sandshrew,0027 Sandshrew.png,0027sandshrew,sandshrew.png
0028sandslash,0028 Sandslash RG.png,0028sandslash,sandslash.png
0029nidoran-f,0029 Nidoran.png,0029nidoran-f,nidoran-f.png
0030nidorina,0030 Nidorina RG.png,0030nidorina,nidorina.png
0031nidoqueen,0031 Nidoqueen RG.png,0031nidoqueen,nidoqueen.png
0032nidoran-m,0032 Nidoran.png,0032nidoran-m,nidoran-m.png
0033nidorino,0033 Nidorino.png,0033nidorino,nidorino.png
0034nidoking,0034 Nidoking.png,0034nidoking,nidoking.png
0035clefairy,0035 Clefairy RG.png,0035clefairy,clefairy.png
0036clefable,0036 Clefable RB.png,0036clefable,clefable.png
0037vulpix,0037 Vulpix Alola.png,0037vulpix,vulpix alola.png
0037vulpix,0037 Vulpix.png,0037vulpix,vulpix.png
0038ninetales,0038 Ninetales RB.png,0038ninetales,ninetales.png
0039jigglypuff,0039 Jigglypuff.png,0039jigglypuff,jigglypuff.png
0040wigglytuff,0040 Wigglytuff RG.png,0040wigglytuff,wigglytuff.png
0043oddish,0043 Oddish.png,0043oddish,oddish.png
0044gloom,0044 Gloom.png,0044gloom,gloom.png
0045vileplume,0045 Vileplume.png,0045vileplume,vileplume.png
0046paras,0046 Paras.png,0046paras,paras.png
0047parasect,0047 Parasect RG.png,0047parasect,parasect.png
0049venomoth,0049 Venomoth.png,0049venomoth,venomoth.png
0050diglett,0050 Diglett Alola.png,0050diglett,diglett alola.png
0050diglett,0050 Diglett RG.png,0050diglett,diglett.png
0051dugtrio,0051 Dugtrio Alola.png,0051dugtrio,dugtrio alola.png
0051dugtrio,0051 Dugtrio.png,0051dugtrio,dugtrio.png
0052meowth,0052 Meowth Galar.png,0052meowth,meowth galar.png
0052meowth,0052 Meowth.png,0052meowth,meowth.png
0053persian,0053 Persian Alola.png,0053persian,persian alola.png
0054psyduck,0054 Psyduck.png,0054psyduck,psyduck.png
0055golduck,0055 Golduck.png,0055golduck,golduck.png
0056mankey,0056 Mankey.png,0056mankey,mankey.png
0057primeape,0057 Primeape RG.png,0057primeape,primeape.png
