project_file,sprite_file,status,reason
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0001bulbasaur/poke_capture_0001_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0001bulbasaur/bulbasaur.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0001bulbasaur/poke_capture_0001_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0001bulbasaur/bulbasaur_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0002ivysaur/poke_capture_0002_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0002ivysaur/ivysaur.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0002ivysaur/poke_capture_0002_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0002ivysaur/ivysaur_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_mf_g_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur-gmax.png,mapped,gmax-direct
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_mf_g_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur-gmax_shiny.png,mapped,gmax-direct
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur-mega.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur-mega_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0004charmander/poke_capture_0004_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0004charmander/charmander.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0004charmander/poke_capture_0004_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0004charmander/charmander_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0005charmeleon/poke_capture_0005_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0005charmeleon/charmeleon.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0005charmeleon/poke_capture_0005_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0005charmeleon/charmeleon_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_000_mf_g_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard-gmax.png,mapped,gmax-direct
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_000_mf_g_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard-gmax_shiny.png,mapped,gmax-direct
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard-mega-x.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard-mega-x_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_002_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard-mega-y.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_002_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard-mega-y_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0007squirtle/poke_capture_0007_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0007squirtle/squirtle.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0007squirtle/poke_capture_0007_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0007squirtle/squirtle_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0008wartortle/poke_capture_0008_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0008wartortle/wartortle.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0008wartortle/poke_capture_0008_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0008wartortle/wartortle_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_000_mf_g_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise-gmax.png,mapped,gmax-direct
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_000_mf_g_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise-gmax_shiny.png,mapped,gmax-direct
