model_folder,model_file,sprite_folder,sprite_file
0451skorupi,poke_capture_0451_000_mf_n_00000000_f_n.png,0451skorupi,skorupi.png
0451skorupi,poke_capture_0451_000_mf_n_00000000_f_r.png,0451skorupi,skorupi_shiny.png
0452drapion,poke_capture_0452_000_mf_n_00000000_f_n.png,0452drapion,drapion.png
0452drapion,poke_capture_0452_000_mf_n_00000000_f_r.png,0452drapion,drapion_shiny.png
0453croagunk,poke_capture_0453_000_fd_n_00000000_f_n.png,0453croagunk,croagunk.png
0453croagunk,poke_capture_0453_000_fd_n_00000000_f_r.png,0453croagunk,croagunk_shiny.png
0453croagunk,poke_capture_0453_000_md_n_00000000_f_n.png,0453croagunk,croagunk.png
0453croagunk,poke_capture_0453_000_md_n_00000000_f_r.png,0453croagunk,croagunk_shiny.png
0454toxicroak,poke_capture_0454_000_fd_n_00000000_f_n.png,0454toxicroak,toxicroak.png
0454toxicroak,poke_capture_0454_000_fd_n_00000000_f_r.png,0454toxicroak,toxicroak_shiny.png
0454toxicroak,poke_capture_0454_000_md_n_00000000_f_n.png,0454toxicroak,toxicroak.png
0454toxicroak,poke_capture_0454_000_md_n_00000000_f_r.png,0454toxicroak,toxicroak_shiny.png
0455carnivine,poke_capture_0455_000_mf_n_00000000_f_n.png,0455carnivine,carnivine.png
0455carnivine,poke_capture_0455_000_mf_n_00000000_f_r.png,0455carnivine,carnivine_shiny.png
0456finneon,poke_capture_0456_000_fd_n_00000000_f_n.png,0456finneon,finneon.png
0456finneon,poke_capture_0456_000_fd_n_00000000_f_r.png,0456finneon,finneon_shiny.png
0457lumineon,poke_capture_0457_000_fd_n_00000000_f_n.png,0457lumineon,lumineon.png
0457lumineon,poke_capture_0457_000_fd_n_00000000_f_r.png,0457lumineon,lumineon_shiny.png
0458mantyke,poke_capture_0458_000_mf_n_00000000_f_n.png,0458mantyke,mantyke.png
0458mantyke,poke_capture_0458_000_mf_n_00000000_f_r.png,0458mantyke,mantyke_shiny.png
0459snover,poke_capture_0459_000_fd_n_00000000_f_n.png,0459snover,snover.png
0459snover,poke_capture_0459_000_fd_n_00000000_f_r.png,0459snover,snover_shiny.png
0460abomasnow,poke_capture_0460_000_fd_n_00000000_f_n.png,0460abomasnow,abomasnow.png
0460abomasnow,poke_capture_0460_000_fd_n_00000000_f_r.png,0460abomasnow,abomasnow_shiny.png
0460abomasnow,poke_capture_0460_001_mf_n_00000000_f_n.png,0460abomasnow,abomasnow-mega.png
0460abomasnow,poke_capture_0460_001_mf_n_00000000_f_r.png,0460abomasnow,abomasnow-mega_shiny.png
