,model_folder,model_file,sprite_folder,sprite_file,model_path,sprite_path
0,0001bulbasaur,poke_capture_0001_000_mf_n_00000000_f_n.png,0001bulbasaur,bulbasaur.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0001bulbasaur/poke_capture_0001_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0001bulbasaur/bulbasaur.png
1,0001bulbasaur,poke_capture_0001_000_mf_n_00000000_f_r.png,0001bulbasaur,bulbasaur_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0001bulbasaur/poke_capture_0001_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0001bulbasaur/bulbasaur_shiny.png
2,0002ivysaur,poke_capture_0002_000_mf_n_00000000_f_n.png,0002ivysaur,ivysaur.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0002ivysaur/poke_capture_0002_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0002ivysaur/ivysaur.png
3,0003venusaur,poke_capture_0003_000_md_n_00000000_f_n.png,0003venusaur,venusaur.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur.png
4,0003venusaur,poke_capture_0003_000_md_n_00000000_f_r.png,0003venusaur,venusaur_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur_shiny.png
5,0003venusaur,poke_capture_0003_000_mf_g_00000000_f_n.png,0003venusaur,venusaur-gmax.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_mf_g_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur-gmax.png
6,0003venusaur,poke_capture_0003_000_mf_g_00000000_f_r.png,0003venusaur,venusaur-gmax_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_000_mf_g_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur-gmax_shiny.png
7,0003venusaur,poke_capture_0003_001_mf_n_00000000_f_n.png,0003venusaur,venusaur-mega.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur-mega.png
8,0003venusaur,poke_capture_0003_001_mf_n_00000000_f_r.png,0003venusaur,venusaur-mega_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0003venusaur/poke_capture_0003_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0003venusaur/venusaur-mega_shiny.png
9,0004charmander,poke_capture_0004_000_mf_n_00000000_f_n.png,0004charmander,charmander.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0004charmander/poke_capture_0004_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0004charmander/charmander.png
10,0004charmander,poke_capture_0004_000_mf_n_00000000_f_r.png,0004charmander,charmander_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0004charmander/poke_capture_0004_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0004charmander/charmander_shiny.png
11,0005charmeleon,poke_capture_0005_000_mf_n_00000000_f_n.png,0005charmeleon,charmeleon.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0005charmeleon/poke_capture_0005_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0005charmeleon/charmeleon.png
12,0005charmeleon,poke_capture_0005_000_mf_n_00000000_f_r.png,0005charmeleon,charmeleon_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0005charmeleon/poke_capture_0005_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0005charmeleon/charmeleon_shiny.png
13,0006charizard,poke_capture_0006_000_mf_n_00000000_f_n.png,0006charizard,charizard.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard.png
14,0006charizard,poke_capture_0006_000_mf_n_00000000_f_r.png,0006charizard,charizard_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0006charizard/poke_capture_0006_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0006charizard/charizard_shiny.png
15,0007squirtle,poke_capture_0007_000_mf_n_00000000_f_n.png,0007squirtle,squirtle.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0007squirtle/poke_capture_0007_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0007squirtle/squirtle.png
16,0007squirtle,poke_capture_0007_000_mf_n_00000000_f_r.png,0007squirtle,squirtle_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0007squirtle/poke_capture_0007_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0007squirtle/squirtle_shiny.png
