model_folder,model_file,sprite_folder,sprite_file
0001bulbasaur,poke_capture_0001_000_mf_n_00000000_f_n.png,0001bulbasaur,bulbasaur.png
0001bulbasaur,poke_capture_0001_000_mf_n_00000000_f_r.png,0001bulbasaur,bulbasaur_shiny.png
0002ivysaur,poke_capture_0002_000_mf_n_00000000_f_n.png,0002ivysaur,ivysaur.png
0003venusaur,poke_capture_0003_000_md_n_00000000_f_n.png,0003venusaur,venusaur.png
0003venusaur,poke_capture_0003_000_md_n_00000000_f_r.png,0003venusaur,venusaur_shiny.png
0003venusaur,poke_capture_0003_000_mf_g_00000000_f_n.png,0003venusaur,venusaur-gmax.png
0003venusaur,poke_capture_0003_000_mf_g_00000000_f_r.png,0003venusaur,venusaur-gmax_shiny.png
0003venusaur,poke_capture_0003_001_mf_n_00000000_f_n.png,0003venusaur,venusaur-mega.png
0003venusaur,poke_capture_0003_001_mf_n_00000000_f_r.png,0003venusaur,venusaur-mega_shiny.png
0004charmander,poke_capture_0004_000_mf_n_00000000_f_n.png,0004charmander,charmander.png
0004charmander,poke_capture_0004_000_mf_n_00000000_f_r.png,0004charmander,charmander_shiny.png
0005charmeleon,poke_capture_0005_000_mf_n_00000000_f_n.png,0005charmeleon,charmeleon.png
0005charmeleon,poke_capture_0005_000_mf_n_00000000_f_r.png,0005charmeleon,charmeleon_shiny.png
0006charizard,poke_capture_0006_000_mf_n_00000000_f_n.png,0006charizard,charizard.png
0006charizard,poke_capture_0006_000_mf_n_00000000_f_r.png,0006charizard,charizard_shiny.png
0007squirtle,poke_capture_0007_000_mf_n_00000000_f_n.png,0007squirtle,squirtle.png
0007squirtle,poke_capture_0007_000_mf_n_00000000_f_r.png,0007squirtle,squirtle_shiny.png
0008wartortle,poke_capture_0008_000_mf_n_00000000_f_n.png,0008wartortle,wartortle.png
0008wartortle,poke_capture_0008_000_mf_n_00000000_f_r.png,0008wartortle,wartortle_shiny.png
0009blastoise,poke_capture_0009_000_mf_g_00000000_f_n.png,0009blastoise,blastoise-gmax.png
0009blastoise,poke_capture_0009_000_mf_g_00000000_f_r.png,0009blastoise,blastoise-gmax_shiny.png
0009blastoise,poke_capture_0009_001_mf_n_00000000_f_n.png,0009blastoise,blastoise-mega.png
0009blastoise,poke_capture_0009_001_mf_n_00000000_f_r.png,0009blastoise,blastoise-mega_shiny.png
0010caterpie,poke_capture_0010_000_mf_n_00000000_f_n.png,0010caterpie,caterpie.png
0010caterpie,poke_capture_0010_000_mf_n_00000000_f_r.png,0010caterpie,caterpie_shiny.png
0011metapod,poke_capture_0011_000_mf_n_00000000_f_n.png,0011metapod,metapod.png
0011metapod,poke_capture_0011_000_mf_n_00000000_f_r.png,0011metapod,metapod_shiny.png
0012butterfree,poke_capture_0012_000_fd_n_00000000_f_n.png,0012butterfree,butterfree.png
